Name,Fantasy Points (Rushing),Fantasy Points (Receiving),Fumbles,Fantasy Points (Total)
DeMarco Murray,114.5,15.5,4,122.0
Matt Forte,51.9,43.6,1,93.5
Jamaal Charles,25.5,16.3,1,39.8
Marshawn Lynch,53.2,30.7,0,83.9
Arian Foster,81.3,13.1,1,92.4
Le'Veon Bell,60.2,25.1,0,85.3
Giovani Bernard,62.4,17.8,0,80.2
Ben Tate,36.3,-0.2,0,36.1
Andre Ellington,36.5,24.8,1,59.3
Branden Oliver,36.9,18.4,0,55.3
Justin Forsett,58.8,11.8,0,70.6
Alfred Morris,56.6,3.9,2,56.5
Eddie Lacy,48.6,7.6,1,54.2
Frank Gore,42.5,12.8,0,55.3
Fred Jackson,28.7,30.5,1,57.2
Lamar Miller,51.0,15.3,3,60.3
Andre Williams,34.8,2.5,0,37.3
Ahmad Bradshaw,28.4,47.6,1,74.0
Joique Bell,34.6,9.6,2,40.2
Ronnie Hillman,16.6,2.3,1,16.9
Reggie Bush,22.1,14.2,0,36.3
Christopher Ivory,44.5,8.5,0,53.0
Shane Vereen,27.6,11.4,0,39.0
Jerick McKinnon,20.6,9.5,0,30.1
Isaiah Crowell,47.7,0.3,2,44.0
Bishop Sankey,27.1,3.9,0,31.0
Jeremy Hill,33.5,10.3,0,43.8
Zac Stacy,28.3,9.8,2,34.1
Trent Richardson,40.1,13.2,2,49.3
Pierre Thomas,24.0,24.7,0,48.7
