Name,Fantasy Points (Rushing),Fantasy Points (Receiving),Fumbles,Fantasy Points (Total)
DeMarco Murray,147.4,23.9,5,161.3
Arian Foster,118.6,28.6,2,143.2
Marshawn Lynch,64.7,32.7,0,97.4
Jamaal Charles,60.3,21.9,1,80.2
Le'Veon Bell,75.1,45.5,0,120.6
LeSean McCoy,56.5,8.8,2,61.3
Lamar Miller,70.9,19.6,3,84.5
Ronnie Hillman,46.9,8.1,1,53.0
Andre Ellington,58.4,33.4,2,87.8
Giovani Bernard,74.6,17.9,0,92.5
Mark Ingram,57.1,3.8,0,60.9
Ahmad Bradshaw,49.1,62.4,2,107.5
Ben Tate,48.5,0.4,0,48.9
Jerick McKinnon,39.2,9.2,0,48.4
Branden Oliver,47.2,22.2,0,69.4
Alfred Morris,62.0,3.9,2,61.9
Christopher Ivory,77.5,10.3,0,87.8
Justin Forsett,75.1,13.5,1,86.6
Shane Vereen,34.1,32.8,0,66.9
Frank Gore,48.3,12.8,0,61.1
Denard Robinson,38.9,4.7,0,43.6
Andre Williams,40.0,2.5,0,42.5
Darren McFadden,45.8,11.4,1,55.2
Jeremy Hill,37.5,13.1,0,50.6
Trent Richardson,47.8,17.3,2,61.1
Jonathan Stewart,27.7,8.5,0,36.2
Lorenzo Taliaferro,46.6,6.0,0,52.6
Bobby Rainey,34.7,24.0,3,52.7
Tre Mason,21.7,1.3,1,21.0
